Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,Carbon Emissions (kg CO2e),Recycling Rate (%),Energy Consumption (MWh),Use of Renewable Energy (%),Green Packaging Usage (%)
Aptera,Demand-Driven SCM,500,4.5,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,102077763,407000,61,243500,65,54
Sono Motors,Lean Manufacturing,250,4,12,90,91,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,85,9,8,High,88,85,107603002,408000,62,244000,50,55
Lightyear,Agile SCM,300,5,14,90,87,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,82,9,12,Medium,85,85,12842660,409000,63,244500,51,56
Fisker,Vendor Managed Inventory,250,5.8,10,92,89,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,81,11,8,High,88,85,104703776,410000,64,245000,52,57
Karma Automotive,Vendor Managed Inventory,10000,5.5,10,94,90,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,13021574,411000,65,245500,53,58
Lotus Cars,Agile SCM,100,4,14,88,88,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,85,10,10,Medium,85,80,91499350,412000,66,246000,54,59
TVR,Agile SCM,75000,7.7,8,94,89,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85,106683174,413000,67,246500,55,60
Pininfarina,Sustainable SCM,70000,9,11,91,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,91693394,414000,68,247000,56,40
Italdesign,Vendor Managed Inventory,100,2,10,90,88,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,96319576,415000,69,247500,57,41
Magna International,Just-In-Time,200,1,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,80,10,8,High,88,85,42489278,416000,70,248000,58,42
Continental AG,Vendor Managed Inventory,500,7,10,93,92,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,80,10,8,High,90,85,49114108,417000,60,248500,59,43
Bosch,Lean Manufacturing,300,8,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,42058335,418000,61,249000,60,44
Denso,Lean Manufacturing,300,5,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,55553465,419000,62,249500,61,45
ZF Friedrichshafen,Lean Manufacturing,500,5.8,2,98,88,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",82,20,5,High,90,85,87580057,420000,63,250000,62,46
Valeo,Vendor Managed Inventory,400,4,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,81,11,10,High,88,85,106322093,421000,64,250500,63,47
Aisin Seiki,Agile SCM,150,4,18,87,90,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80,49905867,422000,65,251000,64,48
Aptiv,Vendor Managed Inventory,100,6,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,100532609,423000,66,251500,65,49
Lear Corporation,Agile SCM,200,4.5,18,88,88,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,85,10,12,Medium,85,80,24210513,424000,67,252000,50,50
BorgWarner,Agile SCM,150,6.5,11,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,10198500,425000,68,252500,51,51
Faurecia,Lean Manufacturing,20000,6,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,23448675,426000,69,253000,52,52
Adient,Lean Manufacturing,100,4.2,10,90,85,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,80,11,8,High,88,85,102294404,427000,70,253500,53,53
Autoliv,Agile SCM,1300000,4.5,10,92,88,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,80,11,8,High,88,85,23930985,428000,60,254000,54,54
Hyundai Mobis,Lean Manufacturing,200,10,10,92,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,22725757,429000,61,254500,55,55
Schaeffler Group,Vendor Managed Inventory,300,6.2,20,88,91,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,85,10,12,Medium,85,80,2597481,430000,62,255000,56,56
Hella,Lean Manufacturing,100,4.2,18,90,89,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,82,11,10,Medium,85,85,57597409,431000,63,255500,57,57
Magna Steyr,Demand-Driven SCM,400,5,7,98,87,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,81,12,3,High,95,90,26939240,432000,64,256000,58,58
KUKA,Lean Manufacturing,150,6,10,93,91,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,56688831,433000,65,256500,59,59
Visteon,Sustainable SCM,150,5,12,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,68227908,434000,66,257000,60,60
Yanfeng Automotive Interiors,Lean Manufacturing,100,5.2,22,89,88,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,55831369,435000,67,257500,61,40
JTEKT,Vendor Managed Inventory,300,4.2,10,94,85,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,95499876,436000,68,258000,62,41
NSK Ltd.,Lean Manufacturing,150,4.2,15,91,89,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80,92942923,437000,69,258500,63,42
Knorr-Bremse,Vendor Managed Inventory,500,5.8,11,90,88,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,80,9,10,High,87,80,61819577,438000,70,259000,64,43
Brembo,Agile SCM,400,4,20,88,90,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80,52157314,439000,60,259500,65,44
Bridgestone,Lean Manufacturing,300,10,12,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,70612022,440000,61,260000,50,45
Michelin,Agile SCM,300,4,12,89,85,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,46918819,441000,62,260500,51,46
Goodyear,Sustainable SCM,100,6,11,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,82,11,10,High,88,85,65557448,442000,63,261000,52,47
Continental Tire,Lean Manufacturing,300,5.2,7,98,88,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,81,12,3,High,95,90,29367078,443000,64,261500,53,48
Pirelli,Agile SCM,300,6,18,88,85,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,85,10,12,Medium,85,80,24244265,444000,65,262000,54,49
Yokohama Rubber,Lean Manufacturing,10000,50,12,91,94,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,100168601,445000,66,262500,55,50
Hankook Tire,Vendor Managed Inventory,20000,6.2,11,90,91,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,35427854,446000,67,263000,56,51
Cooper Tire & Rubber,Agile SCM,500,4.2,14,90,89,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,85,10,10,Medium,85,80,32576170,447000,68,263500,57,52
Sumitomo Rubber,Sustainable SCM,200,10,7,99,93,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,85,15,3,High,95,90,21288949,448000,69,264000,58,53
Toyo Tires,Vendor Managed Inventory,100,5.2,10,93,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,80,10,8,High,90,85,803329,449000,70,264500,59,54
Apollo Tyres,Just-In-Time,150,3.5,12,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,80,11,10,High,88,85,42801199,450000,60,265000,60,55
Kumho Tire,Lean Manufacturing,250,8.2,7,98,92,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90,87753581,451000,61,265500,61,56
Nexen Tire,Agile SCM,400,5.2,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,3695962,452000,62,266000,62,57
Nokian Tyres,Demand-Driven SCM,200,7,9,92,91,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,82,12,8,High,88,85,18892009,453000,63,266500,63,58
Giti Tire,Agile SCM,20000,5.5,2,98,90,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",81,20,5,High,90,85,4294540,454000,64,267000,64,59
Linglong Tire,Agile SCM,500,6,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,85,10,12,Medium,85,85,29365615,455000,65,267500,65,60
Sailun Tire,Agile SCM,200,6,8,94,92,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,54481925,456000,66,268000,50,40
Triangle Tire,Cross-Docking,300,10,10,92,94,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,85,12,8,High,89,85,46626915,457000,67,268500,51,41
Cheng Shin Rubber,Agile SCM,100,8.3,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,79945267,458000,68,269000,52,42
ZC Rubber,Lean Manufacturing,250,6,9,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,71819940,459000,69,269500,53,43
Guizhou Tyre,Just-In-Time,20000,5,7,98,89,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,80,12,3,High,95,90,69778860,460000,70,270000,54,44
JK Tyre & Industries,Agile SCM,150,7.5,2,98,91,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85,39501027,461000,60,270500,55,45
MRF Tyres,Demand-Driven SCM,1300000,6,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,90372541,462000,61,271000,56,46
CEAT,Vendor Managed Inventory,200,6,15,91,91,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80,65812634,463000,62,271500,57,47
Balkrishna Industries,Vendor Managed Inventory,200,4,3,97,90,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",82,18,5,High,90,88,103568238,464000,63,272000,58,48
ATG (Alliance Tire Group),Vendor Managed Inventory,500,4.2,12,91,89,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,81,11,10,High,88,85,102325206,465000,64,272500,59,49
Titan International,Lean Manufacturing,150,4.5,10,94,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,31288563,466000,65,273000,60,50
Trelleborg,Lean Manufacturing,250,5,11,91,87,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,56882319,467000,66,273500,61,51
Camso,Lean Manufacturing,300,4.5,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,11506306,468000,67,274000,62,52
Carlstar Group,Lean Manufacturing,100000,4,10,90,85,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,33999534,469000,68,274500,63,53
Kenda Tires,Agile SCM,200,5,22,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,95534049,470000,69,275000,64,54
Maxxis,Lean Manufacturing,10000,5.8,18,90,92,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,80,11,10,Medium,85,85,197776,471000,70,275500,65,55
Federal Corporation,Lean Manufacturing,1000000,5.5,18,88,88,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,102081472,472000,60,276000,50,56
Nankang Rubber Tire,Agile SCM,200,4,18,87,89,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80,23614650,473000,61,276500,51,57
Delinte,Sustainable SCM,300,7.7,10,93,90,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,10986869,474000,62,277000,52,58
Toyama,Agile SCM,150,9,14,90,90,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,82,9,12,Medium,85,85,60084390,475000,63,277500,53,59
Lexani,Lean Manufacturing,100,2,8,94,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,81,12,7,High,90,85,25827439,476000,64,278000,54,60
Riken,Agile SCM,100,1,15,91,91,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,85,10,12,Medium,85,85,31378292,477000,65,278500,55,40
Roadstone,Demand-Driven SCM,300,7,4,95,88,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,85,12,5,High,90,85,86881846,478000,66,279000,56,41
Arisun,Agile SCM,400,8,15,95,91,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,85,8,12,Medium,88,85,40163713,479000,67,279500,57,42
Greenball,Lean Manufacturing,400,5,12,89,89,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,21900339,480000,68,280000,58,43
Doublestar,Agile SCM,300,5.8,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,3331069,481000,69,280500,59,44
Aelous,Lean Manufacturing,150,4,11,90,90,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,80,9,10,High,87,80,7468811,482000,70,281000,60,45
Double Coin,Agile SCM,500,4,9,93,91,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,80,10,7,High,90,85,87349432,483000,60,281500,61,46
Blue Diamond,Lean Manufacturing,1200,6,5,93,87,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,85,11,5,High,90,85,98208176,484000,61,282000,62,47
Bridgestone,Vendor Managed Inventory,359,4.5,10,92,93,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,31530804,485000,62,282500,63,48
Michelin,Efficient Consumer Response,459,6.5,10,92,85,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,82,12,8,High,89,85,55860632,486000,63,283000,64,49
Goodyear,Sustainable SCM,876,6,8,94,92,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,81,12,7,High,90,85,77498464,487000,64,283500,65,50
Continental,Lean Manufacturing,655,4.2,20,89,89,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,12,Medium,85,80,48978080,488000,65,284000,50,51
Pirelli,Agile SCM,4444,4.5,7,98,89,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90,1748015,489000,66,284500,51,52
Yokohama,Lean Manufacturing,433,10,18,87,85,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80,85218478,490000,67,285000,52,53
Hankook,Agile SCM,12000,6.2,9,93,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,67201058,491000,68,285500,53,54
Toyo,Demand-Driven SCM,300,4.2,15,91,88,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80,57399770,492000,69,286000,54,55
Cooper,Lean Manufacturing,200,5,12,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,80,11,10,High,88,85,21970759,493000,70,286500,55,56
Kumho,Agile SCM,20000,6,10,90,88,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,80,11,8,High,87,85,36810848,494000,60,287000,56,57
General Tire,Vendor Managed Inventory,500,5,12,88,90,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,85,8,15,Medium,80,78,12984809,495000,61,287500,57,58
Uniroyal,Vendor Managed Inventory,100,5.2,12,89,91,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,36253448,496000,62,288000,58,59
BFGoodrich,Agile SCM,200,4.2,12,90,87,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,82,9,8,High,88,85,56224958,497000,63,288500,59,60
Firestone,Agile SCM,20000,4.2,14,90,89,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,81,9,12,Medium,85,85,70721465,498000,64,289000,60,40
Dunlop,Sustainable SCM,400,5.8,10,92,90,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,100706882,499000,65,289500,61,41
Falken,Vendor Managed Inventory,1500,4,10,94,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,49913225,500000,66,290000,62,42
Sumitomo,Just-In-Time,200,10,14,88,89,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,85,10,10,Medium,85,80,6200647,501000,67,290500,63,43
Giti,Vendor Managed Inventory,500,4,8,94,92,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85,102512693,502000,68,291000,64,44
Linglong,Lean Manufacturing,300,6,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,88409750,503000,69,291500,65,45
Sailun,Lean Manufacturing,500,5.2,10,90,89,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,80,11,8,High,88,85,48840102,504000,70,292000,50,46
Triangle,Lean Manufacturing,250,6,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,80,10,8,High,88,85,55848858,505000,60,292500,51,47
Westlake,Vendor Managed Inventory,300,50,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,65293687,506000,61,293000,52,48
Goodride,Agile SCM,250,6.2,11,90,85,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,77264089,507000,62,293500,53,49
Nexen,Vendor Managed Inventory,10000,4.2,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,82,11,10,High,88,85,73706384,508000,63,294000,54,50
Nitto,Agile SCM,100,10,2,98,85,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",81,20,5,High,90,85,56877184,509000,64,294500,55,51
Mickey Thompson,Agile SCM,75000,5.2,12,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,17864558,510000,65,295000,56,52
Dick Cepek,Lean Manufacturing,70000,3.5,18,87,90,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80,74815223,511000,66,295500,57,53
Interco,Lean Manufacturing,100,8.2,12,89,88,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,17750765,512000,67,296000,58,54
TBC Brands,Agile SCM,200,5.2,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,85,10,12,Medium,85,80,85871669,513000,68,296500,59,55
Multi-Mile,Lean Manufacturing,500,7,11,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,58720661,514000,69,297000,60,56
Vanderbilt,Vendor Managed Inventory,300,5.5,10,92,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,80,11,8,High,91,85,100952087,515000,70,297500,61,57
Delta,Lean Manufacturing,300,6,10,90,88,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,80,11,8,High,88,85,17310853,516000,60,298000,62,58
American Omni Trading,Demand-Driven SCM,500,6,10,92,94,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,17569188,517000,61,298500,63,59
Gladiator,Lean Manufacturing,400,10,10,92,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,52187216,518000,62,299000,64,60
Ironman,Sustainable SCM,150,8.3,20,88,89,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,82,10,12,Medium,85,80,11726299,519000,63,299500,65,40
O'Reilly Auto Parts,Lean Manufacturing,100,6,18,90,87,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,81,11,10,Medium,85,85,2503772,520000,64,300000,50,41
AutoZone,Vendor Managed Inventory,200,5,7,98,91,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,85,12,3,High,95,90,102197323,521000,65,300500,51,42
Advance Auto Parts,Lean Manufacturing,150,7.5,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,1043234,522000,66,301000,52,43
NAPA Auto Parts,Vendor Managed Inventory,20000,6,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,3379570,523000,67,301500,53,44
Pep Boys,Agile SCM,100,6,22,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,90586460,524000,68,302000,54,45
Carquest,Lean Manufacturing,1300000,4,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,4981506,525000,69,302500,55,46
Meineke,Agile SCM,200,4.2,15,91,88,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,94015782,526000,70,303000,56,47
Midas,Sustainable SCM,300,4.5,11,90,90,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,80,9,10,High,87,80,65732490,527000,60,303500,57,48
Firestone Complete Auto Care,Lean Manufacturing,100,5,20,88,93,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,85,10,12,Medium,85,80,105071546,528000,61,304000,58,49
Goodyear Auto Service,Agile SCM,400,4.5,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,86966282,529000,62,304500,59,50
Jiffy Lube,Lean Manufacturing,150,4,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,82,10,10,Medium,85,80,107219265,530000,63,305000,60,51
Valvoline Instant Oil Change,Vendor Managed Inventory,150,5,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,81,11,10,High,88,85,30503181,531000,64,305500,61,52
Monro Auto Service and Tire Centers,Agile SCM,100,5.8,7,98,85,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90,48487261,532000,65,306000,62,53
Big O Tires,Sustainable SCM,300,5.5,18,88,94,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,85,10,12,Medium,85,80,107665884,533000,66,306500,63,54
Les Schwab Tire Centers,Vendor Managed Inventory,150,4,12,91,91,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,30773483,534000,67,307000,64,55
Discount Tire,Just-In-Time,500,7.7,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,38503932,535000,68,307500,65,56
Tire Kingdom,Lean Manufacturing,400,9,14,90,93,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,85,10,10,Medium,85,80,53007837,536000,69,308000,50,57
NTB - National Tire & Battery,Agile SCM,300,2,7,99,88,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,80,15,3,High,95,90,53892569,537000,70,308500,51,58
America's Tire,Demand-Driven SCM,300,1,10,93,93,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,80,10,8,High,90,85,76246547,538000,60,309000,52,59
Mavis Discount Tire,Agile SCM,100,7,12,91,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,108403438,539000,61,309500,53,60
Tuffy Tire & Auto Service,Agile SCM,300,8,7,98,89,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90,103859637,540000,62,310000,54,40
Precision Tune Auto Care,Agile SCM,300,7,11,90,91,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,82,9,10,High,87,80,107944666,541000,63,310500,55,41
Mr. Tire Auto Service Centers,Cross-Docking,10000,5.2,9,92,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,81,12,8,High,88,85,60779109,542000,64,311000,56,42
Hibdon Tires Plus,Agile SCM,20000,7.5,2,98,90,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,34907128,543000,65,311500,57,43
Tire Warehouse,Lean Manufacturing,500,10.5,15,91,92,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,85,10,12,Medium,85,85,78110974,544000,66,312000,58,44
Town Fair Tire,Just-In-Time,200,5.8,8,94,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,27345821,545000,67,312500,59,45
Tire Barn Warehouse,Agile SCM,100,7,10,92,90,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,85,12,8,High,89,85,3584703,546000,68,313000,60,46
Tires Plus,Demand-Driven SCM,150,5.2,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,90864818,547000,69,313500,61,47
Tire Discounters,Vendor Managed Inventory,250,6,9,93,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,80,11,8,High,91,85,10192258,548000,70,314000,62,48
AAA Car Care,Vendor Managed Inventory,400,7.2,7,98,91,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,80,12,3,High,95,90,92903550,549000,60,314500,63,49
Big Brand Tire & Service,Vendor Managed Inventory,200,6,2,98,90,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,85,12,5,High,90,85,80337040,550000,61,315000,64,50
